Delete,Change_to_N,Change_to_M,Change_to_U
mitogenome_rps12_Andalucia_161,Arabidopsis_Streptophyta_ANM70483.1_Ribosomal_protein_L19_family_protein,Tetrahymena_Ciliophora_uL2m,
mitogenome_rps13_Andalucia_179,Trypanosoma_Euglenozoa_XP_847416.1_50S_ribosomal_protein_L17_putative,Tetrahymena_Ciliophora_uL6m,
mitogenome_rps14_Andalucia_175,Trypanosoma_Euglenozoa_XP_001218841.1,Tetrahymena_Ciliophora_uS12m,
mitogenome_rps19_Andalucia_170,Trypanosoma_Euglenozoa_XP_829556.1,Tetrahymena_Ciliophora_uS13m,
mitogenome_rps1_Andalucia_149,Trypanosoma_Euglenozoa_XP_846078.1_60S_ribosomal_protein-like,Tetrahymena_Ciliophora_us14m,
mitogenome_rps2_Andalucia_203,Andalucia_Jakobida_00091.mRNA.1_mitochondrial_3-hydroxyisobutyryl-CoA_hydrolase_domain_protein,Tetrahymena_Ciliophora_uS19m,
mitogenome_rps3_Andalucia_171,Andalucia_Jakobida_04382.mRNA.1_mitochondrial_ribosomal_protein_L29_bL29m,Tetrahymena_Ciliophora_uS2m,
mitogenome_rps4_Andalucia_182,Andalucia_Jakobida_05657.mRNA.1_mitochondrial_ribosomal_protein_S5_uS5m,Tetrahymena_Ciliophora_uS3m,
mitogenome_rps7_Andalucia_162,Tetrahymena_Ciliophora_XP_001014959.1_phosphatidylinositol_4-phosphate_5-kinase,Tetrahymena_Ciliophora_uS4m,
mitogenome_rps8_Andalucia_176,Tetrahymena_Ciliophora_XP_001023227.1,Tetrahymena_Ciliophora_uS7m,
mitogenome_rps3_Saccharomyces_2314,Tetrahymena_Ciliophora_XP_001030600.2_50S_ribosomal_protein_L1P,Tetrahymena_Ciliophora_uS10m,
mitogenome_ymf74_Ttermophyla_2674,Toxoplasma_Apicomplexa_XP_002364606.2_ribosomal_protein_L19_protein,Trypanosoma_Euglenozoa_uS12m,
mitogenome_rpl14_Ttermophyla_2708,Toxoplasma_Apicomplexa_XP_002366198.1_LSU_ribosomal_protein_L14P_putative,Trypanosoma_Euglenozoa_uS3m,
mitogenome_rpl16_Ttermophyla_2689,Toxoplasma_Apicomplexa_XP_002366244.1_BIR_protein,Arabidopsis_Streptophyta_uL16m,
mitogenome_rpl2_Ttermophyla_2673,Toxoplasma_Apicomplexa_XP_002366409.1,Arabidopsis_Streptophyta_DAB41511.2_TPA_asm_ribosomal_protein_L2_mitochondrion,
mitogenome_ymf60_Ttermophyla_2680,Toxoplasma_Apicomplexa_XP_002366611.1_50S_ribosomal_protein_l24_putative,Arabidopsis_Streptophyta_uL5m,
mitogenome_ymf59_Ttermophyla_2688,Toxoplasma_Apicomplexa_XP_002367008.1_large_subunit_ribosomal_protein_IMG2,Arabidopsis_Streptophyta_uS12m,
mitogenome_rps12_Ttermophyla_2676,Toxoplasma_Apicomplexa_XP_002369201.1_ribosomal_protein_RPL35,Arabidopsis_Streptophyta_uS3m,
mitogenome_rps13_Ttermophyla_2670,Toxoplasma_Apicomplexa_XP_002369335.2_L1P_family_of_ribosomal_protein,Arabidopsis_Streptophyta_uS7m,
mitogenome_rps14_Ttermophyla_2679,Toxoplasma_Apicomplexa_XP_002371147.1_50S_ribosomal_protein_L17_putative,Arabidopsis_Streptophyta_uL2m,
mitogenome_rps19_Ttermophyla_2672,Toxoplasma_Apicomplexa_XP_002371987.1,NgruberiMITOPRO_Heterolobosea_NP_066524.1_ribosomal-protein-L14-mitochondrion,
mitogenome_ymf73_Ttermophyla_2711,Toxoplasma_Apicomplexa_XP_018635102.1_ribosomal_protein_l7-l12_c-terminal_domain-containing_protein,NgruberiMITOPRO_Heterolobosea_NP_066527.1_ribosomal-protein-S8-mitochondrion,
mitogenome_ymf64_Ttermophyla_2681,Toxoplasma_Apicomplexa_XP_018635138.1,NgruberiMITOPRO_Heterolobosea_NP_066499.1_ribosomal-protein-S7-mitochondrion,
mitogenome_ymf76_Ttermophyla_2669,Toxoplasma_Apicomplexa_XP_018635271.1,NgruberiMITOPRO_Heterolobosea_NP_066521.1_ribosomal-protein-S19-mitochondrion,
mitogenome_ymf63_Ttermophyla_2685,Toxoplasma_Apicomplexa_XP_018636549.1_mitochondrial_large_subunit_ribosomal_protein,NgruberiMITOPRO_Heterolobosea_NP_066530.1_ribosomal-protein-S13-mitochondrion,
mitogenome_rpl16_Athaliana_254,Toxoplasma_Apicomplexa_XP_018637406.1_50S_ribosomal_protein_L21_putative,NgruberiMITOPRO_Heterolobosea_NP_066529.1_ribosomal-protein-S11-mitochondrion,
mitogenome_rpl2_Athaliana_269,Toxoplasma_Apicomplexa_XP_018638304.1,NgruberiMITOPRO_Heterolobosea_NP_066518.1_ribosomal-protein-S10-mitochondrion,
Arabidopsis_Streptophyta_uL2m-C-term,Saccharomyces_Holomycota_NP_010321.1_Ehd3p,NgruberiMITOPRO_Heterolobosea_NP_066528.1_ribosomal-protein-L6-mitochondrion,
mitogenome_rpl5_Athaliana_265,Saccharomyces_Holomycota_NP_010326.1_mitochondrial_37S_ribosomal_protein_RSM10,NgruberiMITOPRO_Heterolobosea_NP_066520.1_ribosomal-protein-L2-mitochondrion,
mitogenome_rps12_Athaliana_276,Saccharomyces_Holomycota_NP_010401.1_mitochondrial_54S_ribosomal_protein_MRPL1,NgruberiMITOPRO_Heterolobosea_NP_066522.1_ribosomal-protein-S3-mitochondrion,
mitogenome_rps3_Athaliana_253,Saccharomyces_Holomycota_NP_010608.1_mitochondrial_54S_ribosomal_protein_YmL35,NgruberiMITOPRO_Heterolobosea_NP_066519.1_ribosomal-protein-L11-mitochondrion,
mitogenome_rps7_Athaliana_259,Saccharomyces_Holomycota_NP_010634.3_mitochondrial_37S_ribosomal_protein_MRP1,NgruberiRNA_Heterolobosea_TRINITY_DN4551_c0_g2_i1.p2,
Ddiscoideum_Amoebozoa_NP_050087.1_ribosomal_protein_L11_mitochondrion,Saccharomyces_Holomycota_NP_011447.1_mitochondrial_nucleoid_protein_MNP1,NgruberiMITOPRO_Heterolobosea_NP_066520.1_ribosomal-protein-L2-mitochondrion,
Ddiscoideum_Amoebozoa_NP_050095.1_ribosomal_protein_L16_mitochondrion,Saccharomyces_Holomycota_NP_011731.3_mitochondrial_37S_ribosomal_protein_RSM27,Acanthamoeba_Amoebozoa_bS16,
Ddiscoideum_Amoebozoa_NP_050091.1_ribosomal_protein_L2_mitochondrion,Saccharomyces_Holomycota_NP_012439.2_mitochondrial_54S_ribosomal_protein_YmL49,,
Ddiscoideum_Amoebozoa_NP_050089.1_ribosomal_protein_S12_mitochondrion,Saccharomyces_Holomycota_NP_012472.1_mitochondrial_54S_ribosomal_protein_YmL8,,
Ddiscoideum_Amoebozoa_NP_050101.1_ribosomal_protein_S13_mitochondrion,Saccharomyces_Holomycota_NP_013737.1_mitochondrial_54S_ribosomal_protein_YmL3,,
Ddiscoideum_Amoebozoa_NP_050098.1_ribosomal_protein_S14_mitochondrion,Saccharomyces_Holomycota_NP_014393.1_mitochondrial_54S_ribosomal_protein_YmL2,,
Ddiscoideum_Amoebozoa_NP_050092.1_ribosomal_protein_S19_mitochondrion,Saccharomyces_Holomycota_NP_014419.1_mitochondrial_54S_ribosomal_protein_MRPL50,,
Ddiscoideum_Amoebozoa_NP_050107.1_ribosomal_protein_S2_mitochondrion,Homo_Holozoa_NP_001305414.1_39S_ribosomal_protein_L20_mitochondrial_isoform_2,,
Ddiscoideum_Amoebozoa_NP_050106.1_ribosomal_protein_S4_mitochondrion,Homo_Holozoa_NP_852616.1_39S_ribosomal_protein_L21_mitochondrial_isoform_a,,
Ddiscoideum_Amoebozoa_NP_050090.1_ribosomal_protein_S7_mitochondrion,Homo_Holozoa_XP_005273880.1_39S_ribosomal_protein_L21_mitochondrial_isoform_X1,,
Ddiscoideum_Amoebozoa_NP_050099.1_ribosomal_protein_S8_mitochondrion,Homo_Holozoa_NP_001308213.1_39S_ribosomal_protein_L55_mitochondrial_isoform_a,,
Ntabacum_Streptophyta_YP_173421.1,Homo_Holozoa_NP_852127.2_39S_ribosomal_protein_L55_mitochondrial_isoform_b,,
Ntabacum_Streptophyta_YP_173485.1_ribosomal_protein_L2_mitochondrion,Homo_Holozoa_NP_057706.2_39S_ribosomal_protein_L35_mitochondrial_isoform_a,,
Ntabacum_Streptophyta_YP_173397.1,Homo_Holozoa_NP_663619.1_39S_ribosomal_protein_L35_mitochondrial_isoform_b,,
Ntabacum_Streptophyta_YP_173369.1_ribosomal_protein_L5_mitochondrion,Homo_Holozoa_XP_005264418.1_39S_ribosomal_protein_L35_mitochondrial_isoform_X1,,
Ntabacum_Streptophyta_YP_173396.1_ribosomal_protein_S10_mitochondrion,Homo_Holozoa_NP_115868.1_39S_ribosomal_protein_L36_mitochondrial,,
Ntabacum_Streptophyta_YP_173403.1_ribosomal_protein_S13_mitochondrion,Homo_Holozoa_XP_011512382.1_39S_ribosomal_protein_L36_mitochondrial_isoform_X2,,
Ntabacum_Streptophyta_YP_173367.1_ribosomal_protein_S14_mitochondrion,Homo_Holozoa_XP_011512381.1_39S_ribosomal_protein_L36_mitochondrial_isoform_X1,,
Ntabacum_Streptophyta_YP_173410.1_ribosomal_protein_S3_mitochondrion,Homo_Holozoa_NP_002940.2_39S_ribosomal_protein_L12_mitochondrial,,
Ntabacum_Streptophyta_YP_173472.1_ribosomal_protein_S4_partial_mitochondrion,Homo_Holozoa_NP_001287662.1_39S_ribosomal_protein_L9_mitochondrial_isoform_2,,
Reclinomonas_Jakobida_uL1m,Homo_Holozoa_NP_057151.1_28S_ribosomal_protein_S18c_mitochondrial_isoform_1,,
Acanthamoeba_Amoebozoa_mS26,Homo_Holozoa_NP_001284696.1_28S_ribosomal_protein_S18c_mitochondrial_isoform_2,,
Symbiodinium_Dinoflagellata_CAE7569780.1_RPL7D,Homo_Holozoa_NP_061870.1_28S_ribosomal_protein_S21_mitochondrial,,
Gefionella_Malawimonadida_a321278_5.p1,Homo_Holozoa_NP_115867.2_39S_ribosomal_protein_L38_mitochondrial,,
,Homo_Holozoa_NP_001305080.1_39S_ribosomal_protein_L40_mitochondrial_isoform_2,,
,Homo_Holozoa_NP_789763.1_39S_ribosomal_protein_L43_mitochondrial_isoform_c,,
,Homo_Holozoa_NP_789764.1_39S_ribosomal_protein_L43_mitochondrial_isoform_d,,
,Homo_Holozoa_NP_115488.2_39S_ribosomal_protein_L43_mitochondrial_isoform_a,,
,Homo_Holozoa_NP_001295325.1_39S_ribosomal_protein_L43_mitochondrial_isoform_e,,
,Homo_Holozoa_XP_016872279.1_39S_ribosomal_protein_L43_mitochondrial_isoform_X1,,
,Homo_Holozoa_NP_075066.1_39S_ribosomal_protein_L44_mitochondrial,,
,Homo_Holozoa_NP_115727.5_39S_ribosomal_protein_L45_mitochondrial_isoform_1,,
,Homo_Holozoa_NP_001265208.2_39S_ribosomal_protein_L45_mitochondrial_isoform_2,,
,Homo_Holozoa_NP_851821.1_39S_ribosomal_protein_L52_mitochondrial_isoform_d,,
,Homo_Holozoa_NP_851313.1_39S_ribosomal_protein_L52_mitochondrial_isoform_c,,
,Homo_Holozoa_NP_001305799.1_39S_ribosomal_protein_L52_mitochondrial_isoform_f,,
,Homo_Holozoa_NP_851824.1_39S_ribosomal_protein_L52_mitochondrial_isoform_e,,
,Homo_Holozoa_XP_005267382.1_39S_ribosomal_protein_L52_mitochondrial_isoform_X1,,
,Homo_Holozoa_XP_005247697.1_28S_ribosomal_protein_S22_mitochondrial_isoform_X1,,
,Homo_Holozoa_XP_006713766.1_28S_ribosomal_protein_S22_mitochondrial_isoform_X2,,
,Homo_Holozoa_XP_011511297.1_28S_ribosomal_protein_S22_mitochondrial_isoform_X3,,
,Homo_Holozoa_XP_011511298.1_28S_ribosomal_protein_S22_mitochondrial_isoform_X4,,
,Homo_Holozoa_NP_001186779.1_28S_ribosomal_protein_S29_mitochondrial_isoform_2,,
,Homo_Holozoa_NP_001186780.1_28S_ribosomal_protein_S29_mitochondrial_isoform_3,,
,Homo_Holozoa_XP_016857778.1_28S_ribosomal_protein_S29_mitochondrial_isoform_X2,,
,Homo_Holozoa_XP_016857783.1_28S_ribosomal_protein_S29_mitochondrial_isoform_X5,,
,Homo_Holozoa_XP_016857784.1_28S_ribosomal_protein_S29_mitochondrial_isoform_X6,,
,Homo_Holozoa_NP_001287829.1_28S_ribosomal_protein_S34_mitochondrial_isoform_1,,
,Homo_Holozoa_XP_016879084.1_28S_ribosomal_protein_S34_mitochondrial_isoform_X1,,
,Homo_Holozoa_NP_001177793.1_28S_ribosomal_protein_S35_mitochondrial_isoform_2_precursor,,
,Homo_Holozoa_XP_016875269.1_28S_ribosomal_protein_S35_mitochondrial_isoform_X1,,
,Homo_Holozoa_XP_011539972.1_aurora_kinase_A-interacting_protein_isoform_X1,,
,Homo_Holozoa_XP_024303692.1_aurora_kinase_A-interacting_protein_isoform_X2,,
,Homo_Holozoa_NP_683685.1_39S_ribosomal_protein_L10_mitochondrial_isoform_b,,
,Homo_Holozoa_NP_733934.1_39S_ribosomal_protein_L11_mitochondrial_isoform_b,,
,Homo_Holozoa_NP_733935.1_39S_ribosomal_protein_L11_mitochondrial_isoform_c,,
,Homo_Holozoa_XP_016873624.1_39S_ribosomal_protein_L11_mitochondrial_isoform_X2,,
,Homo_Holozoa_NP_001305698.1_39S_ribosomal_protein_L14_mitochondrial_isoform_b,,
,Homo_Holozoa_NP_001305700.1_39S_ribosomal_protein_L14_mitochondrial_isoform_d,,
,Homo_Holozoa_NP_001305699.1_39S_ribosomal_protein_L14_mitochondrial_isoform_c,,
,Homo_Holozoa_XP_016868851.1_39S_ribosomal_protein_L15_mitochondrial_isoform_X1,,
,Homo_Holozoa_NP_001305746.1_39S_ribosomal_protein_L18_mitochondrial_isoform_2,,
,Homo_Holozoa_NP_064621.3_39S_ribosomal_protein_L1_mitochondrial_precursor,,
,Homo_Holozoa_NP_001014990.1_39S_ribosomal_protein_L22_mitochondrial_isoform_b,,
,Homo_Holozoa_XP_006724959.1_39S_ribosomal_protein_L23_mitochondrial-like_isoform_X2,,
,Homo_Holozoa_XP_006718334.1_39S_ribosomal_protein_L23_mitochondrial_isoform_X4,,
,Homo_Holozoa_XP_011518578.1_39S_ribosomal_protein_L23_mitochondrial_isoform_X3,,
,Homo_Holozoa_XP_011518577.1_39S_ribosomal_protein_L23_mitochondrial_isoform_X2,,
,Homo_Holozoa_XP_011518575.1_39S_ribosomal_protein_L23_mitochondrial_isoform_X1,,
,Homo_Holozoa_NP_817125.1_39S_ribosomal_protein_L47_mitochondrial_isoform_b,,
,Homo_Holozoa_NP_001287777.1_39S_ribosomal_protein_L2_mitochondrial_isoform_2,,
,Homo_Holozoa_XP_005249218.1_39S_ribosomal_protein_L2_mitochondrial_isoform_X1,,
,Homo_Holozoa_NP_666500.1_39S_ribosomal_protein_L4_mitochondrial_isoform_b,,
,Homo_Holozoa_XP_011526347.1_39S_ribosomal_protein_L4_mitochondrial_isoform_X1,,
,Homo_Holozoa_XP_016866485.1_28S_ribosomal_protein_S10_mitochondrial_isoform_X4,,
,Homo_Holozoa_XP_005249263.1_28S_ribosomal_protein_S10_mitochondrial_isoform_X3,,
,Homo_Holozoa_XP_011513026.1_28S_ribosomal_protein_S10_mitochondrial_isoform_X1,,
,Homo_Holozoa_XP_011513027.1_28S_ribosomal_protein_S10_mitochondrial_isoform_X2,,
,Homo_Holozoa_NP_001308899.1_28S_ribosomal_protein_S11_mitochondrial_isoform_c,,
,Homo_Holozoa_NP_789775.1_28S_ribosomal_protein_S11_mitochondrial_isoform_b,,
,Homo_Holozoa_NP_001308901.1_28S_ribosomal_protein_S11_mitochondrial_isoform_d,,
,Homo_Holozoa_XP_006717199.1_28S_ribosomal_protein_S2_mitochondrial_isoform_X1,,
,Homo_Holozoa_NP_001308924.1_28S_ribosomal_protein_S5_mitochondrial_isoform_b,,
,Homo_Holozoa_NP_001308925.1_28S_ribosomal_protein_S5_mitochondrial_isoform_c,,
,Homo_Holozoa_XP_011509946.1_28S_ribosomal_protein_S9_mitochondrial_isoform_X1,,
